Open,High,Low,Close,Adj Close,Volume,class
21720.080078125,21802.716796875,20210.306640625,20363.021484375,20363.021484375,30364664171,2
20367.001953125,20370.595703125,19628.25390625,20187.244140625,20187.244140625,39578257695,2
20187.876953125,20792.525390625,20068.66015625,20632.41015625,20632.41015625,30180288176,1
20628.029296875,22185.03125,20448.806640625,22163.94921875,22163.94921875,29279035521,2
22156.40625,24550.837890625,21918.19921875,24197.533203125,24197.533203125,49466362688,2
24201.765625,26514.716796875,24081.18359375,24746.07421875,24746.07421875,54622230164,2
24770.92578125,25240.615234375,23964.91015625,24375.9609375,24375.9609375,43655701450,0
24373.45703125,25190.326171875,24225.111328125,25052.7890625,25052.7890625,33866061747,1
25055.123046875,27787.8125,24955.169921875,27423.9296875,27423.9296875,50730261335,2
27448.1171875,27725.953125,26636.26171875,26965.87890625,26965.87890625,35723036817,0
