time,open,high,low,close,volume,turnover,date,class,norm_revenue
2023-07-05 02:00:00,30794.75,30862.83,30793.8,30837.99,61.145504,1885680.66292242,2023-07-05,0,0.7333642540778172
2023-07-05 03:00:00,30837.99,30874.0,30828.01,30868.0,49.312311,1521357.47344184,2023-07-05,-1,1.0
2023-07-05 04:00:00,30868.0,30869.74,30822.29,30839.48,87.772591,2707210.32720047,2023-07-05,0,0.7466027499599741
2023-07-05 05:00:00,30839.48,30874.45,30800.17,30813.22,97.736381,3014713.41984422,2023-07-05,0,0.5132853661573593
2023-07-05 06:00:00,30813.22,30834.19,30764.08,30815.53,93.327141,2875121.00718925,2023-07-05,0,0.5338094772229927
2023-07-05 07:00:00,30815.53,30816.0,30765.92,30771.98,115.140478,3544996.6742333,2023-07-05,0,0.14687223180774803
2023-07-05 08:00:00,30771.98,30797.99,30652.77,30761.19,219.254991,6736903.59648981,2023-07-05,0,0.05100419786903617
2023-07-05 09:00:00,30761.19,30771.95,30678.0,30678.0,145.733912,4478611.44927158,2023-07-05,0,-0.6881303473914514
2023-07-05 10:00:00,30678.0,30711.99,30392.55,30434.95,732.06402,22359655.21702853,2023-07-05,0,-2.8476044575677197
2023-07-05 11:00:00,30434.95,30487.98,30350.0,30405.99,320.770154,9757597.35442038,2023-07-05,0,-3.10491106209643
2023-07-05 12:00:00,30405.99,30433.99,30273.59,30323.99,535.002028,16244059.64807539,2023-07-05,1,0.0
2023-07-05 13:00:00,30323.99,30379.24,30193.86,30354.54,473.870975,14352708.47671188,2023-07-05,0,-0.2712264093857867
2023-07-05 14:00:00,30354.54,30441.13,30333.99,30414.36,271.370703,8248873.72456792,2023-07-05,0,0.2667533408923659
2023-07-05 15:00:00,30414.36,30419.06,30240.32,30356.31,361.957896,10979494.58040123,2023-07-05,1,0.0
2023-07-05 16:00:00,30356.31,30472.36,30333.99,30465.99,195.568504,5948497.08726373,2023-07-05,0,0.45251796981954784
2023-07-05 17:00:00,30465.99,30581.59,30452.2,30525.16,216.21586,6598170.69698559,2023-07-05,-1,1.0
2023-07-05 18:00:00,30525.16,30593.24,30440.0,30503.14,215.387811,6571495.59539834,2023-07-05,0,0.7962556311547381
2023-07-05 19:00:00,30503.14,30531.13,30428.56,30430.75,137.825048,4202167.56161526,2023-07-05,1,0.0
2023-07-05 20:00:00,30430.75,30495.99,30392.84,30462.33,101.245913,3082895.83835812,2023-07-05,0,-2.7024833313666634
2023-07-05 21:00:00,30462.33,30492.65,30421.62,30468.0,114.568145,3489838.81409815,2023-07-05,-1,-2.1802673988083536
2023-07-05 22:00:00,30468.0,30505.0,30386.95,30437.11,123.682688,3765396.60758168,2023-07-05,0,-5.02528506313478
2023-07-05 23:00:00,30437.11,30539.39,30390.26,30502.53,166.010846,5058380.76851844,2023-07-05,-1,1.0
2023-07-06 00:00:00,30502.53,30529.17,30390.64,30410.36,204.482267,6226478.75163947,2023-07-06,1,0.0
2023-07-06 01:00:00,30410.36,30477.39,30334.0,30475.93,203.677799,6193270.63551747,2023-07-06,0,0.43209840440337854
2023-07-06 02:00:00,30475.93,30563.95,30460.01,30473.08,191.97632,5855627.6657284,2023-07-06,1,-0.0
2023-07-06 03:00:00,30473.08,30523.56,30464.99,30496.55,60.685212,1850793.15806852,2023-07-06,-1,1.0
